nights_id,minimum_nights,maximum_nights
130,30 ,365 
131,2 ,1125 
132,1 ,28 
133,30 ,365 
134,90 ,1000 
135,2 ,1125 
136,2 ,1125 
137,30 ,365 
138,30 ,1125 
139,29 ,1125 
140,1 ,1125 
141,30 ,31 
142,4 ,1125 
143,30 ,1125 
144,2 ,1125 
145,30 ,1125 
146,5 ,1125 
147,14 ,1125 
148,30 ,1125 
149,30 ,365 
150,30 ,1125 
151,2 ,1125 
152,3 ,61 
153,30 ,1125 
154,30 ,1125 
155,30 ,1125 
156,5 ,365 
157,30 ,1125 
158,30 ,180 
159,4 ,120 
160,5 ,1125 
161,10 ,1125 
162,2 ,31 
163,1 ,1125 
164,1 ,1125 
165,30 ,1125 
166,30 ,1125 
167,1 ,7 
168,30 ,30 
169,2 ,27 
170,3 ,29 
171,2 ,1125 
172,4 ,1125 
173,2 ,1125 
174,2 ,1125 
175,2 ,1125 
176,30 ,365 
177,30 ,1125 
178,180 ,1125 
179,31 ,1125 
180,3 ,365 
181,30 ,30 
182,2 ,1125 
183,3 ,1125 
184,6 ,1125 
185,30 ,360 
186,1 ,1125 
187,30 ,1125 
188,3 ,1125 
189,30 ,1125 
190,90 ,180 
191,28 ,1125 
192,30 ,30 
193,30 ,1125 
194,2 ,1125 
195,30 ,1125 
196,3 ,1125 
197,1 ,1125 
198,12 ,365 
199,30 ,1125 
200,1 ,1125 
201,1 ,1125 
202,3 ,365 
203,1 ,1125 
204,2 ,13 
205,2 ,25 
206,30 ,200 
207,30 ,1125 
208,2 ,365 
209,31 ,1125 
210,3 ,1125 
211,30 ,1125 
212,2 ,1125 
213,1 ,1125 
214,1 ,1125 
215,7 ,14 
216,2 ,1125 
217,30 ,1125 
218,30 ,1125 
219,28 ,30 
220,3 ,90 
221,30 ,1125 
222,5 ,365 
223,14 ,30 
224,1 ,50 
225,20 ,1125 
226,30 ,1125 
227,30 ,1125 
228,30 ,1125 
229,30 ,1125 
230,1 ,1125 
231,30 ,1125 
232,1 ,365 
233,30 ,1125 
234,30 ,1125 
235,30 ,1125 
236,1 ,1125 
237,30 ,1125 
238,30 ,31 
239,1 ,365 
240,2 ,1125 
241,30 ,1125 
242,30 ,1125 
243,1 ,1125 
244,1 ,1125 
245,1 ,1125 
246,3 ,1125 
247,1 ,1125 
248,1 ,365 
249,30 ,90 
250,8 ,14 
251,2 ,1125 
252,1 ,1125 
253,30 ,1125 
254,3 ,1125 
255,3 ,20 
256,30 ,1125 
257,30 ,60 
258,30 ,1125 
259,30 ,1125 
260,30 ,1125 
261,2 ,1125 
262,30 ,1125 
263,30 ,1125 
264,30 ,1125 
265,20 ,29 
266,1 ,8 
267,30 ,1125 
268,5 ,21 
269,2 ,1125 
270,2 ,1125 
271,4 ,1125 
272,30 ,1125 
273,4 ,7 
274,2 ,25 
275,1 ,1125 
276,30 ,1125 
277,1 ,365 
278,1 ,28 
279,30 ,1125 
280,1 ,1125 
281,2 ,1125 
282,30 ,1125 
283,1 ,1125 
284,30 ,1125 
285,7 ,1125 
286,1 ,1125 
287,30 ,1125 
288,2 ,120 
289,5 ,1125 
290,5 ,21 
291,1 ,1125 
292,1 ,21 
293,5 ,1125 
294,1 ,1125 
295,30 ,1125 
296,2 ,1125 
297,3 ,1125 
298,30 ,1125 
299,30 ,1125 
300,30 ,1125 
301,30 ,1125 
302,60 ,1125 
303,30 ,1125 
304,1 ,29 
305,30 ,365 
306,3 ,27 
307,30 ,1125 
308,3 ,365 
309,30 ,1125 
310,30 ,1125 
311,30 ,1125 
312,30 ,30 
313,2 ,1125 
314,30 ,1125 
315,31 ,1125 
316,30 ,365 
317,7 ,1125 
318,1 ,1125 
319,4 ,1125 
320,1 ,365 
321,30 ,1125 
322,1 ,1125 
323,3 ,21 
324,30 ,365 
325,7 ,1125 
326,3 ,1125 
327,1 ,28 
328,30 ,1125 
329,30 ,365 
330,30 ,300 
331,5 ,1125 
332,3 ,1125 
333,2 ,1125 
334,2 ,1125 
335,30 ,1125 
336,5 ,1125 
337,30 ,1125 
338,1 ,1125 
339,56 ,85 
340,30 ,1125 
341,3 ,1125 
342,1 ,28 
343,15 ,365 
344,2 ,365 
345,30 ,1125 
346,30 ,1125 
347,30 ,1125 
348,30 ,45 
349,1 ,1125 
350,30 ,1125 
351,30 ,1125 
352,1 ,31 
353,30 ,75 
354,30 ,120 
355,30 ,1125 
356,30 ,1125 
357,30 ,1125 
358,15 ,1125 
359,30 ,365 
360,3 ,1125 
361,90 ,365 
362,2 ,1125 
363,3 ,1125 
364,200 ,1125 
365,3 ,365 
366,1 ,1125 
