availability_id,has_availability,availability_30,availability_60,availability_90,availability_365
8830,f,0,0,0,0
8831,t,0,0,0,0
8832,t,0,17,47,130
8833,f,0,0,0,0
8834,f,0,0,0,0
8835,t,0,0,0,129
8836,t,2,15,45,320
8837,f,0,0,0,0
8838,t,28,58,88,108
8839,t,0,0,0,87
8840,t,8,38,68,248
8841,t,0,5,29,45
8842,t,27,57,87,362
8843,t,29,59,89,364
8844,t,30,60,3,365
8845,t,1,17,39,312
8846,t,0,0,0,0
8847,t,4,7,18,102
8848,t,3,10,40,307
8849,f,0,0,0,0
8850,t,0,0,0,159
8851,t,14,31,61,63
8852,t,28,58,88,88
8853,t,0,0,0,76
8854,t,5,22,35,310
8855,t,20,44,74,164
8856,f,0,0,0,0
8857,t,0,20,50,50
8858,f,0,0,0,0
8859,t,0,0,0,0
8860,t,2,17,47,322
8861,t,0,0,0,0
8862,f,0,0,0,0
8863,t,0,0,0,0
8864,t,0,0,0,249
8865,t,30,60,90,365
8866,f,0,0,0,0
8867,t,0,0,0,0
8868,t,1,15,39,127
8869,t,11,41,71,346
8870,t,29,59,89,364
8871,t,1,9,33,299
8872,t,6,24,54,138
8873,t,17,47,77,167
8874,t,0,0,0,0
8875,t,0,0,0,16
8876,t,2,5,5,5
8877,t,1,2,13,16
8878,t,0,5,35,310
8879,t,2,2,25,43
8880,t,0,1,1,221
8881,t,1,1,1,5
8882,t,0,0,0,0
8883,t,26,56,86,361
8884,t,0,1,11,219
8885,t,29,59,89,364
8886,f,0,0,0,0
8887,t,0,0,0,0
8888,t,0,0,0,0
8889,f,0,0,0,0
8890,t,13,35,65,152
8891,t,30,60,90,365
8892,t,5,35,65,340
8893,f,0,0,0,0
8894,t,7,18,43,316
8895,f,0,0,0,0
8896,t,3,7,16,213
8897,t,0,0,0,0
8898,t,15,43,68,158
8899,t,19,49,79,354
8900,t,4,13,24,98
8901,t,0,0,0,0
8902,t,0,0,0,0
8903,t,0,0,0,0
8904,t,2,7,20,259
8905,t,0,3,16,16
8906,t,0,0,0,0
8907,t,12,42,72,347
8908,t,0,0,0,6
8909,t,3,3,14,14
8910,t,30,60,90,270
8911,t,0,28,58,333
8912,t,0,0,0,0
8913,t,0,6,13,23
8914,f,0,0,0,0
8915,t,12,42,72,347
8916,f,0,0,0,0
8917,t,5,19,49,310
8918,t,3,17,47,322
8919,t,0,0,0,264
8920,t,0,0,0,0
8921,t,9,39,69,344
8922,t,0,0,0,264
8923,f,0,0,0,0
8924,t,0,0,1,207
8925,t,0,0,0,0
8926,t,1,31,61,61
8927,t,4,11,26,177
8928,t,10,25,53,83
8929,t,30,60,90,365
8930,t,10,40,70,70
8931,t,9,15,36,307
8932,t,0,4,23,113
8933,f,0,0,0,0
8934,t,30,60,90,365
8935,t,0,5,35,310
8936,t,0,0,8,32
8937,t,1,4,18,103
8938,f,0,0,0,0
8939,t,21,51,81,81
8940,f,0,0,0,0
8941,f,0,0,0,0
8942,t,0,0,0,266
8943,f,0,0,0,0
8944,t,10,40,70,70
8945,f,0,0,0,0
8946,t,0,0,0,247
8947,t,24,29,59,257
8948,t,12,33,63,338
8949,t,1,12,26,284
8950,f,0,0,0,0
8951,t,3,10,33,45
8952,t,3,14,35,297
