id,latitude,longitude,zipcodes
80,40.80447,-73.96373,10025
81,40.68746,-73.97528,11217
82,40.73872,-73.97995,10010
83,40.81636,-73.94452,10030
84,40.80169,-73.96628,
85,40.77071,-73.95865,10021
86,-73.99087,-73.95865,
87,40.82291,-73.95214,10031
88,40.72288,-73.99197,10002
89,40.71482,-73.81031,11435
90,40.67977,-73.94748,11216
91,40.72941797,-73.98482332,10003
92,40.74908,-73.9811,10016
93,40.64052,-73.95351,11226
94,40.68682,-73.97712,11217
95,40.68368691,-73.95832443,11238
96,40.7147,-74.00566,10007
97,40.64364,-73.96483,11226
98,40.64445,-74.00279,11220
99,40.71088,-74.01706,10280
100,40.80681,-73.95057,10027
101,40.86067,-73.92814,10040
102,40.66265,-73.88857,11207
103,40.65796,-73.95901,11225
104,40.75218,-73.89253,11372
105,40.78055,-73.9509,10128
106,40.7559391,-73.99812015,10018
107,40.74978,-73.95013,11101
108,40.76153,-73.99878,10036
109,40.76229991,-73.98666202,10019
110,40.67777,-73.94727,11216
111,40.64207,-73.90898,11236
112,40.76693,-73.95179,10021
113,40.74136,-73.98337,10010
114,40.69113,-73.95798,11205
115,40.67356,-73.90593,11212
116,40.75544,-73.98837,
117,40.68261,-73.9142,11233
118,40.74861,-73.97712,10016
119,40.7185,-73.9934,10002
120,40.68916,-73.93513,11221
121,40.68698,-73.91975,11221
122,40.77576,-73.95585,10028
123,40.79808,-73.94565,10029
124,40.69901,-73.91375,11237
125,40.68089,-73.95352,11216
126,40.7483,-73.98678,10001
127,40.65972,-73.91933,11212
128,40.65988,-73.77001,11434
129,40.72436,-73.85759,11374
130,40.78304,-73.94578,10128
131,40.70774,-73.94402,
132,40.75522,-73.93651,11101
133,40.70507,-73.92317,11237
134,40.75503,-73.92909,11106
135,40.6823,-73.84545,11416
136,40.71254,-73.99012,10002
137,40.69094,-73.9576,11205
138,40.70765,-73.94257,11206
139,40.765633,-73.982376,10019
140,40.72192,-73.85611,11375
141,40.71051,-74.01724,10280
142,40.69541,-73.93378,11221
143,40.65876,-73.99908,11232
144,40.70367,-73.9172,11237
145,40.69852,-73.92433,11221
146,40.78368,-73.94999,10128
147,40.70687,-73.91375,11385
148,40.71549,-73.96101,11249
149,40.75089,-73.98216,10016
150,40.66238,-73.96281,11225
151,40.66339,-73.95476,11225
152,40.75785,-73.98502,10036
153,40.725418,-73.988174,10003
154,40.73525,-73.85274,11375
155,40.69015,-73.95767,11205
156,40.71407595,-73.93625729,11211
157,40.71872,-73.98174,10002
158,40.75984345,-73.98311384,10019
159,40.81469,-73.95149,10027
160,40.71412,-73.95204,
161,40.75275,-73.93879,11101
162,40.59333,-73.79647,11692
163,40.68631,-73.73544,11411
164,40.80983,-73.92184,10454
165,40.65175,-73.96446,11226
166,40.71287,-73.97723,10002
167,40.85369,-73.93305,10033
168,40.70436,-73.94093,11206
169,40.65526,-73.95842,11226
170,40.82462,-73.9477,10031
171,40.67114,-73.74758,11413
172,40.64835,-73.94984,11226
173,40.6535155,-73.96194591,
174,40.6872,-73.93213,11221
175,40.70577,-73.9429,11206
176,40.76877,-73.96808,10065
177,40.71865643,-74.04084308,07302
178,40.71983,-73.94079,11222
179,40.753011,-73.995934,10001
180,40.70463,-73.93483,11206
181,40.7487,-73.87389,11372
182,40.67527,-73.75661,11413
183,40.69653,-73.94857,11206
184,40.7186,-73.99593,10013
185,40.76048,-73.96175,10065
186,40.81405,-73.91441,10455
187,40.76857,-73.89186,11370
188,40.68878,-73.96404,11238
189,40.6704,-73.95133,11216
190,40.78073,-73.98564,10023
191,40.75986999,-73.8325042,11354
192,40.8026,-73.9637,
193,40.69153,-73.99264,11201
194,40.72249,-73.80087,11432
195,40.72924,-73.98443,10003
196,40.69461,-73.79604,11433
197,40.70182,-73.91651,11237
198,40.78997919,-73.94562813,10029
199,40.7779,-73.98199,10023
200,40.7462,-73.98713,10001
201,40.65042,-74.19295,07206
202,40.70328,-73.98196,11201
203,40.77439,-73.93561,11102
204,40.66259,-73.84176,11414
205,40.68934,-73.93474,11221
206,40.71273,-73.98818,10002
207,40.68182,-73.92459,11233
208,40.68645,-73.92174,11221
209,40.71579,-74.00587,10007
210,40.69159,-73.99595,11201
211,40.6893,-73.95105,11216
212,40.70635,-73.92039,11237
213,40.73488,-73.95405,11222
214,40.72115,-73.98345,10002
215,40.63233362,-74.02145317,11209
216,40.72054,-73.98824,10002
217,40.7082,-74.00855,
218,40.64264,-74.01423,11220
219,40.79614,-73.94867,10029
220,40.64276,-74.01344,11220
221,40.72001,-73.79681,11432
222,40.81065,-73.85338,10473
223,40.7070183,-74.01022779,10005
224,40.68639,-73.87369,11208
225,40.71948,-73.99031,10002
226,40.80446,-73.9583,10026
227,40.8039,-73.95725,10026
228,40.73314,-73.99195,10003
229,40.79969,-73.96106,10025
230,40.81918,-73.95442,10031
231,40.77593,-73.94927,10028
232,40.711304,-73.9666502,11249
233,40.75488,-73.83509,11355
234,40.73208,-74.00562,10014
235,40.64295,-73.99955,11220
236,40.67113,-73.87114,11208
237,40.70911,-73.81756,11435
238,40.81194,-73.95967,10027
239,40.75512,-73.99224,10018
240,40.68167,-73.95894,
241,40.68946,-73.99171,11201
242,40.75239,-73.87854,11372
243,40.71242208,-73.91273216,11385
244,40.64331,-73.9407,11203
245,40.748581,-73.995651,10001
246,40.75013,-73.86851,11368
247,40.81138,-73.94468,10027
248,40.71845,-74.00729,10013
249,40.87391,-73.85732,10469
250,40.69338,-73.99898,11201
251,40.6367341,-74.0766671,10301
252,40.68701,-73.97434,11217
253,40.86576,-73.9242,10034
254,40.68589,-73.93335,
255,40.83403629,-73.91167368,10456
256,40.7837,-73.94877,10128
257,40.58058,-73.95405,11235
258,40.65163,-73.95894,11226
259,40.62829,-74.01455,11228
260,40.70244,-73.92837,11237
261,40.72568,-73.95213,11222
262,40.71981,-73.97857,10002
263,40.79629,-73.96779,10025
264,40.75004,-73.97534,10017
265,40.67636,-73.94048,11213
266,40.75694,-73.98117,10036
267,40.69803,-73.84944,11421
268,40.68856,-73.97129,11205
269,40.70921,-73.94242,11206
270,40.68769,-73.91559,11221
271,40.78941,-74.00048,07093
272,40.73618,-74.009,10014
273,40.74088,-73.97881,10016
274,40.66712,-73.88691,11207
275,40.74537,-73.98814,10001
276,40.58482,-73.96932,11223
277,40.75642,-73.984512,10036
278,40.72112,-73.99194,10002
279,40.67369,-73.93864,11213
280,40.77696,-73.81229,11357
281,40.63141,-73.89629,11236
282,40.77389,-73.94956,10028
283,40.72228,-73.99388,10012
284,40.72156,-73.98255,10009
285,40.68421,-73.92322,11233
286,40.77787911,-73.91664892,11105
287,40.71922,-73.98316,10002
288,40.68649,-73.94174,11221
289,40.8187164,-73.92660592,
290,40.68437,-73.96584,11238
291,40.74921,-73.87587,11372
292,40.69249051,-73.71928604,11003
293,40.69249051,-73.71928604,11003
294,40.75474,-73.99072,10018
295,40.58866,-73.79367,11692
296,40.63444,-73.89509,11236
297,40.71451,-74.03882,07302
298,40.77769,-73.78206,11360
299,40.80038,-73.95463,10026
300,40.68998,-73.93137,11221
301,40.72065,-73.9972,10013
302,40.75089,-73.98129,10016
303,40.7562,-73.96874,10022
304,40.67225,-73.76704,11434
305,40.76661,-73.9881,10019
306,40.59855,-73.79418,11692
307,40.76053,-73.99111,10036
308,40.6392507,-74.07636669,10301
309,40.70194,-73.90968,11385
310,40.72186,-73.98569,10002
311,40.73938,-73.98024,10010
312,40.72169,-73.99741,
313,40.83763,-73.83511,10461
314,40.77855,-73.97803,10023
315,40.7407633,-73.9781758,10016
316,40.75533,-73.93467,11101
317,40.72425,-73.97904,10009
318,40.67351,-73.97473,11215
319,40.69267,-73.95132,11206
320,40.7565,-73.99124,10018
321,40.68215,-73.98095,11217
322,40.75136,-73.98017,10016
323,40.67701,-73.95035,11216
324,40.74836,-73.89686,11377
325,40.71369,-73.94765,11211
326,40.7533,-73.99224,10018
327,40.73903,-73.86478,11368
328,40.70687,-73.93924,11206
329,40.70954679,-73.95095409,11211
330,40.71722,-74.00617,10013
331,40.69541,-73.94572,11206
332,40.6936,-73.75667,11412
333,40.70427,-74.00845,10005
334,40.694,-73.9313,11221
335,40.71113,-73.94488,11211
336,40.68713,-73.87454,11208
337,40.68316,-73.92761,11233
338,40.79441,-74.00079,07047
339,40.71158,-73.9475,11211
340,40.68284,-73.99539,11231
341,40.69982,-73.92352,
342,40.75235,-73.97367,10017
343,40.69986,-73.93934,11206
344,40.77987,-73.94945,10128
345,40.83536,-73.94195,10032
346,40.72642,-73.98305,10009
347,40.82248,-73.95591,10031
348,40.81927,-73.95341,10031
349,40.75279,-73.99365,10001
350,40.70593,-73.94265,11206
351,40.6965,-73.92276,11221
352,40.86663,-73.92251,10034
353,40.72565,-73.97934,10009
354,40.78103,-73.97787,10024
355,40.7949,-73.96678,10025
356,40.72694,-73.98173,10009
357,40.70934,-73.95683,11211
358,40.70899,-73.94893,11206
359,40.71012,-73.94228,11206
360,40.77714,-73.91011,11105
361,40.73707,-73.98511,10003
362,40.8079,-73.95012,10027
363,40.91708,-73.89957,10705
364,40.73429,-73.99387,10003
365,40.80757,-73.95932,10027
366,40.72833,-73.94811,11222
367,40.72719,-73.97775,10009
368,40.74258,-73.91142,11377
369,40.7633888,-73.9596248,10065
370,40.7633888,-73.9596248,10065
371,40.50863,-74.24135,10307
372,40.78339,-73.978,10024
373,40.71254,-73.91882,11385
374,40.74444,-73.98054,10016
375,40.71214,-73.94006,11211
376,40.76688,-73.95361,10021
377,40.82274537,-73.94430355,10030
378,40.70723,-74.00493,10038
379,40.68788,-73.98481,
380,40.63438,-74.02325,11209
381,40.69331,-73.86625,11421
382,40.7532,-73.97133,10017
383,40.67658,-73.93175,11213
384,40.74187,-74.00223,10011
385,40.85441,-73.93515,10033
386,40.76451,-73.9836,10019
387,40.64138,-74.01831,
388,40.75479714,-73.96720857,10022
389,40.72097,-73.99324,10002
390,40.642128,-73.951813,
391,40.82639,-73.94546,
392,40.71688,-73.83693,11375
393,40.72099,-73.99176,10002
394,40.78731,-73.97617,10024
395,40.74627,-73.98743,10001
396,40.68772,-73.94825,11216
397,40.6237,-74.07517,10304
398,40.7528,-73.96867,10017
399,40.71150685,-73.95304761,11211
400,40.61592,-73.92101,11234
401,40.82484,-73.94897,10031
402,40.72777,-73.98244,10009
403,40.77685,-73.97682,10023
404,40.77637,-73.94339,10028
405,40.71114362,-73.95368874,11211
406,40.67118,-73.79307,11436
407,40.69694,-73.92952,11221
408,40.72695,-73.94212,11222
409,40.83335,-73.94283,10032
410,40.81796,-73.91121,10455
411,40.80571,-73.95144,10026
412,40.79289,-73.97665,10025
413,40.74168,-74.00339,10011
414,40.86462,-73.92626,10040
415,40.70344,-73.9032,11385
416,40.7113195,-73.9082014,11385
417,40.77232,-73.9581,10021
418,40.74052,-73.8792,11373
419,40.73936,-73.98491,10010
420,40.7037,-73.92095,11237
421,40.71478,-73.96506,11249
422,40.8009,-73.95135,10026
423,40.82446,-73.95114,10031
424,40.81438,-73.94043,10037
425,40.70885951,-74.01163034,10006
426,40.67819,-73.92447,11233
427,40.70384,-73.94193,11206
428,40.68963,-73.93174,11221
429,40.65602,-73.74246,11422
430,40.71006,-73.94782,
431,40.787,-73.9442,
432,40.69,-73.93311,11221
433,40.68461,-73.98923,11201
434,40.89173,-73.85882,10466
435,40.76184,-73.97425,10022
436,40.73958,-73.99876,10011
437,40.78203,-73.9809,10024
438,40.65403,-73.9611,11226
439,40.72928395,-73.81212822,11367
440,40.76455,-73.98898,10019
441,40.76696,-73.98853,10019
442,40.7813,-74.01142,07093
443,40.81574,-73.94166,
444,40.75924,-73.82989,11354
445,40.74513,-73.98735,10001
446,40.90601,-73.84061,10550
447,40.68041,-73.88093,11208
448,40.80348,-73.9632,10025
449,40.72484,-73.95035,11222
450,40.74694,-73.989,10001
451,40.6944,-73.9662,11205
452,40.7112676,-73.7814209,11432
453,40.69498,-73.96247,11205
454,40.76081,-73.92886,11106
455,40.77434,-73.98757,10023
456,40.74558,-73.95325,11101
457,40.81148,-73.94405,10027
458,40.75572,-73.86453,11368
459,40.64312,-73.95258,11226
460,40.71575891,-74.00705128,10007
461,40.69439,-73.93041,11221
462,40.75201,-73.85195,11368
463,40.7132,-73.96176,11211
464,40.72604223,-73.94599873,11222
465,40.73797,-73.92364,11104
466,40.68135,-73.91367,
467,40.68789,-73.98721,11201
468,40.67695,-73.92954,11233
469,40.70294,-73.92383,
470,40.71711,-73.95789,11211
471,40.76102,-73.96124,10065
472,40.69977,-73.92233,11237
473,40.69164,-73.91979,11221
474,40.7857843,-74.0057975,07093
475,40.65063731,-73.94858209,11226
476,40.83054,-73.94692,10031
477,40.659,-73.91211,11212
478,40.72485,-73.9453,11222
479,40.7458756,-73.8881639,11373
480,40.72021,-73.99426,10012
481,40.74218,-73.97835,10016
482,40.71654,-73.94261,11211
483,40.68989,-73.96838,11205
484,40.79167,-73.96981,10025
485,40.70031,-73.90309,
486,40.74114,-74.00427,10011
487,40.76378,-73.92231,11106
488,40.74476,-73.97837,
489,40.6718442,-73.95754332,11238
490,40.8221938,-73.8951413,10459
491,40.74897,-73.98839,10001
492,40.71915,-73.98976,10002
493,40.75694247,-73.9831727,10036
494,40.81967,-73.94736,10031
495,40.7637,-73.98449,10019
496,40.70535,-73.90261,
497,40.72094,-73.99221,10002
498,40.92881,-73.88502,10701
499,40.72506,-73.99482,10012
500,40.76858,-73.98704,10019
501,40.65274061,-73.7295663,11422
502,40.7992,-73.94298,10029
503,40.71356,-73.9904,10002
504,40.61021,-73.9583,11229
505,40.76082,-73.9947,10036
506,40.74547,-73.97605,10016
507,40.85097511,-73.939661,10033
508,40.73323738,-74.00143726,10014
509,40.67837,-73.98256,11217
510,40.71885,-73.94171,11222
511,40.68901,-73.91885,11221
512,40.64624,-73.95409,11226
513,40.74202,-73.9789,10016
514,40.6906146,-73.9434606,11221
515,40.77826911,-73.97603615,10023
516,40.71736,-73.9592,11249
517,40.76476,-73.97472,10019
518,40.7234,-73.99251,10002
519,40.75247,-73.78604,11358
520,40.72347,-73.98856,10003
521,40.69806,-73.93621,11206
522,40.76273535,-73.97484834,10019
523,40.71913,-73.9638,11249
524,40.77568,-73.90218,11105
525,40.68968,-73.91919,11221
526,40.66029,-73.98374,11215
527,40.76131789,-73.9883154,10036
528,40.75391,-73.91884,11101
529,40.83515218,-73.86680538,10472
530,40.72626,-73.98929,10003
531,40.67862,-73.9273,11233
532,40.64067,-73.95435,11226
533,40.68955,-73.96681,11205
534,40.68955,-73.96681,11205
535,40.75668,-73.99339,10018
536,40.75101,-73.97122,10017
537,40.90478838,-73.84319012,10550
538,40.75077,-73.99657,10001
539,40.7496462,-73.9762765,10016
540,40.72073,-73.99577,10012
541,40.74012,-73.92727,11101
542,40.68019,-73.91056,
543,40.65937,-73.97806,11215
544,40.740677,-74.02778,07030
545,40.72631,-73.95375,11222
546,40.53894,-74.16983,10312
547,40.67426,-73.94061,11213
548,40.67162,-73.77911,11434
549,40.71652,-73.99801,10013
550,40.68072,-73.94138,11216
551,40.72602,-73.99537,10012
552,40.72726,-73.97705,10009
553,40.72713,-73.98842,10003
554,40.65374647,-73.95391245,11226
555,40.7484,-73.89892,11377
556,40.74217,-73.99761,10011
557,40.69306,-73.97153,11205
558,40.82916178,-73.90511068,10456
559,40.7622,-73.99878,10036
560,40.73919,-73.98302,10010
561,40.72678,-73.98514,10009
562,40.7869,-73.95285,10128
563,40.75311,-73.93714,11101
564,40.67475,-73.76032,11413
565,40.74069,-73.99783,10011
566,40.83683,-73.94692,10032
567,40.60417,-73.95651,11229
568,40.60332425,-73.95512199,11229
569,40.64246,-73.97914,11218
570,40.784,-73.94573,10128
571,40.71673,-73.95612,11211
572,40.74128,-73.89793,11377
573,40.836105,-73.901197,10456
574,40.74516,-73.95571,11101
575,40.6734,-73.96465,11238
576,40.76397,-73.98558,10019
577,40.75043,-73.99544,10001
578,40.84173,-73.90677,10457
579,40.71042,-73.96256,11211
580,40.7435,-73.99464,10011
581,40.760597,-73.990692,10036
582,40.7148,-73.98887,10002
583,40.7754,-73.90185,11105
584,40.74926,-73.97643,10016
585,40.75952,-73.82022,
586,40.70136,-73.9288,11206
587,40.63443,-73.96703,11230
588,40.68607,-73.98074,11217
589,40.80467,-73.92653,10454
590,40.86677,-73.84056,10469
591,40.7393,-73.98029,10010
592,40.72798,-73.85428,11374
593,40.81185,-73.85336,10473
594,40.76488,-73.97889,10019
595,40.83465,-73.94626,10032
596,40.7402195,-73.9795651,10016
597,40.71936,-73.98512,10002
598,40.7963,-73.96069,10025
599,40.6244,-74.01886,11228
600,40.69207,-73.9599,11205
601,40.7275,-73.94221,11222
602,40.74674,-73.98863,10001
603,40.76187,-73.97658,10019
604,40.67718,-73.95071,11216
605,40.64898,-73.96636,11226
606,40.72515,-74.00494,10013
607,40.72251,-73.98911,10002
608,40.80098,-73.95543,10026
609,40.7056,-74.00878,10005
610,40.68144,-73.89083,11207
611,40.65069,-73.95318,11226
612,40.65179,-73.91475,11236
613,40.89833,-73.84949,10466
614,40.7593,-73.99556,10036
615,40.72138,-73.98447,10002
616,40.86717,-73.89304,10458
617,40.73096,-73.80357,11365
618,40.80781,-73.99227,07020
619,40.6849004,-73.95635204,11216
620,40.74616,-73.89775,11377
621,40.7791,-73.97783,10023
622,40.72059,-73.98697,10002
623,40.68601,-73.93455,11221
624,40.72755,-73.97904,
625,40.73689,-73.8632,11368
626,40.75297,-73.9347,11101
627,40.71106829,-73.79276121,11432
628,40.80049,-73.9413,10035
629,40.77394,-73.91671,11105
630,40.73304,-73.98301,10003
631,40.86971,-73.85816,10469
632,40.72967,-73.95151,11222
633,40.69044551,-73.96062775,11205
634,40.73248,-74.00589,
635,40.72468,-73.85704,11374
636,40.77406123,-73.94931726,10028
637,40.64395734,-73.96523055,11226
638,40.7607614,-73.9861055,10036
639,40.73352,-74.00306,10014
640,40.75397,-73.99553,10001
641,40.80062,-73.96488,10025
642,40.80658,-73.94932,10027
643,40.765633,-73.982376,10019
644,40.74381,-74.00559,10011
645,40.71747,-73.9587,11249
646,40.71635,-73.99875,
647,40.71325238,-73.98482646,10002
648,40.72085,-73.9915,10002
649,40.74524022,-73.97644585,10016
650,40.69919,-73.91099,11237
651,40.68052,-73.9749,11217
652,40.69087,-73.90272,11237
653,40.68093595,-73.97284384,11217
654,40.70978,-73.94648,11206
655,40.71974,-74.04336,07302
656,40.74428,-74.03219,
657,40.74335,-73.98719,10010
658,40.75838,-73.83306,11354
659,40.63038,-73.92098,11234
660,40.66353,-73.95469,
661,40.82097,-73.95412,10031
662,40.80147,-73.96109,10025
663,40.6783,-73.97247,11217
664,40.65018,-73.97719,11218
665,40.7447,-73.92314,11104
666,40.71643,-73.94906,11211
667,40.78973,-74.00177,07093
668,40.77015,-73.8771,11369
669,40.67152401,-73.92154736,11233
670,40.75316,-73.99989,
671,40.7642,-73.99133,10019
672,40.71376,-73.96125,11211
673,40.67537,-73.85417,11417
674,40.75157,-73.99437,10001
675,40.7455,-73.98899,10001
676,40.63387,-74.02967,11209
677,40.6865,-73.94574,11216
678,40.6859,-73.9351,11221
679,40.68716,-73.9153,11221
680,40.74654,-73.9836,10016
681,40.7696,-73.90916,11105
682,40.70807,-73.95415,11211
683,40.7036,-73.91212,11237
684,40.71228,-73.84201,11375
685,40.75848,-73.93194,11106
686,40.721,-73.95924,11249
687,40.71091843,-73.9655838,11249
688,40.71238,-73.96196,11211
689,40.73063,-74.00037,10012
690,40.74186,-73.98304,10016
691,40.75266,-73.96641,10017
692,40.7526,-73.93603,11101
693,40.76089,-73.98733,10036
694,40.66634,-73.93287,11213
695,40.8215,-73.95312,10031
696,40.76908,-73.94504,10044
697,40.68972,-73.91105,11207
698,40.75223,-73.99667,10001
699,40.82395,-73.94926,10031
700,40.74155,-73.88968,11373
701,40.73728,-73.99248,10003
702,40.82983,-73.94603,10031
703,40.79879,-73.96316,10025
704,40.79375,-73.94569,10029
705,40.75845,-73.94177,11101
706,40.699,-73.92639,11221
707,40.75314,-73.9716,10017
708,40.7253,-73.98028,10009
709,40.77743,-73.91446,11105
710,40.74289,-73.83475,11367
711,40.69516,-73.76537,11412
712,40.72378,-73.93832,11222
713,40.81743,-73.94473,10030
714,40.68597,-73.92282,11221
715,40.74254,-73.97345,10016
716,40.70707,-73.95014,11211
717,40.71284,-73.95815,11211
718,40.78843,-73.9806,10024
719,40.7220382,-73.91089837,11378
720,40.72215,-74.00416,10013
721,40.67635,-73.95253,11216
722,40.68915,-73.96546,11205
723,40.69497,-73.93234,11221
724,40.716,-73.8568,11375
725,40.69112,-73.71515,11003
726,40.72233651,-73.99675716,10012
727,40.74511,-73.97908,10016
728,40.74679,-73.9066,11377
729,40.76132,-73.99141,10036
730,40.67821,-73.99716,11231
731,40.67162,-73.93571,11213
732,40.70474,-73.92784,11237
733,40.72448,-73.97785,10009
734,40.8154322,-73.86359786,10473
735,40.74223,-74.00251,10011
736,40.74402,-73.9157,11104
737,40.70973,-73.96811,11249
738,40.67075,-73.9447,11213
739,40.6923,-73.93579,11221
740,40.67369,-73.96258,11238
741,40.69163,-73.94653,11216
742,40.66246,-73.9933,11232
743,40.72147,-73.9827,10009
744,40.71334,-73.98575,10002
745,40.69525,-73.93768,11206
746,40.72122,-73.98829,10002
747,40.76433,-73.98709,10019
748,40.85629,-73.93282,10040
749,40.76474,-73.87659,11369
750,40.80805,-73.94496,10027
751,40.65679,-73.72956,11422
752,40.67989,-73.95136,11216
753,40.69064,-73.91142,11221
754,40.756157,-73.927109,11106
755,40.669071,-73.95871,11225
756,40.65574,-73.90911,11212
757,40.64055,-74.01514,11220
758,40.80117,-73.96635,10025
759,40.72009,-73.99462,10012
760,40.76749,-73.98491,10019
761,40.65522,-73.93471,11203
762,40.69311,-73.96186,11205
763,40.66001,-73.95566,11225
764,40.67016,-73.97691,11215
765,40.75078,-73.98439,10018
766,40.67707,-73.9395,11213
767,40.71087,-73.9542,11211
768,40.7622,-73.99567,10036
769,40.64303,-73.96434,11226
770,40.65798,-73.89501,11207
771,40.72468,-73.94138,11222
772,40.76867,-73.91029,11103
773,40.69178712,-73.9354025,11221
774,40.76333,-73.97552,10019
775,40.8319,-73.94641,
776,40.6201,-73.93913,11234
777,40.68831,-73.91809,11221
778,40.8820132,-73.8495215,10469
779,40.66743,-73.94282,11213
780,40.76526,-73.98867,10019
781,40.68637,-73.98602,11217
782,40.69444,-73.94644,11206
783,40.8037,-73.95037,10026
784,40.7489,-73.99737,10001
785,40.67389,-73.95817,11238
786,40.81745,-73.9433,10030
787,40.7075856,-74.01042036,10005
788,40.70895,-74.01282,
789,40.67445,-73.92151,11233
790,40.79797,-73.9593,10029
791,40.74712,-73.99505,10001
792,40.68397,-73.96706,11238
793,40.79849,-73.96419,10025
794,40.75145,-73.88423,11372
795,40.7552873,-73.9678204,10022
796,40.64518,-74.01268,11220
797,40.83134,-73.94701,10031
798,40.81465,-73.93881,10037
799,40.60706,-73.97339,11223
800,40.67637,-73.95215,11216
801,40.73931741,-73.81867829,11367
802,40.74332,-74.00078,10011
803,40.62406,-74.0257,11209
804,40.68093,-73.75627,11413
805,40.69154,-73.9594,11205
806,40.77266,-73.98039,10023
807,40.81394352,-73.95313567,10027
808,40.68275,-73.98588,11217
809,40.81647,-73.93723,10037
810,40.73706,-74.00294,10014
811,40.71966,-73.98362,10002
812,40.7612,-73.98784,10036
813,40.66946,-73.97988,11215
814,40.7183,-73.99173,10002
815,40.74559,-73.91814,11104
816,40.69605,-73.9289,11221
817,40.73657,-73.98265,10003
818,40.81149,-73.92376,10454
819,40.66196,-73.95969,11225
820,40.59837,-73.75924,11691
821,40.77605,-73.90871,11105
822,40.75061,-73.97393,10017
823,40.72802,-74.00075,10012
824,40.72957,-73.9574,11222
825,40.77728,-73.90633,11105
826,40.76455,-73.95656,10065
827,40.79469,-73.96682,10025
828,40.7242192,-74.0034696,10012
829,40.69652,-73.97125,11205
830,40.70231,-73.92961,
831,40.69414,-73.99572,11201
832,40.73283,-73.95617,11222
833,40.68966,-73.94286,11221
834,40.74189,-74.00123,10011
835,40.72073094,-73.7358502,11428
836,40.73361,-73.85461,11375
837,40.70333,-73.89754,
838,40.74767,-73.98682,10001
839,40.723,-73.98698,10009
840,40.6748794,-73.9017433,11207
841,40.76967,-73.92409,11102
842,40.76839,-73.95208,10021
843,40.75061,-73.93908,11101
844,40.69546,-73.96758,11205
845,40.7243,-73.95563,11249
846,40.80702,-73.95539,10026
847,40.64095,-73.96185,11226
848,40.71265,-74.01645,10281
849,40.75205,-73.97355,10017
850,40.81209,-73.95398,10027
851,40.72556,-73.99036,10003
852,40.78214,-73.97626,10024
853,40.71363,-74.0063,10007
854,40.72144,-73.98244,10009
855,40.68273,-73.94617,11216
856,40.75130755,-73.85983142,11368
857,40.7586,-73.96666,10022
858,40.82633571,-73.94022759,10039
859,40.76744,-73.92841,11102
860,40.70779,-73.90916,11385
861,40.74051,-74.00029,10011
862,40.6772,-73.98259,11215
863,40.70109,-73.9193,11237
864,40.67261,-73.75254,11413
865,40.784245,-73.971001,10024
866,40.7618663,-73.9638512,10065
