id,neighbourhood_cleansed,neighbourhood_group
3464,Harlem,Manhattan
3465,West Village,Manhattan
3466,Upper East Side,Manhattan
3467,Lower East Side,Manhattan
3468,Astoria,Queens
3469,Long Island City,Queens
3470,Bedford-Stuyvesant,Brooklyn
3471,Williamsburg,Brooklyn
3472,Upper West Side,Manhattan
3473,Crown Heights,Brooklyn
3474,Upper West Side,Manhattan
3475,Crown Heights,Brooklyn
3476,North Riverdale,Bronx
3477,Upper East Side,Manhattan
3478,Lower East Side,Manhattan
3479,Chelsea,Manhattan
3480,Prospect-Lefferts Gardens,Brooklyn
3481,Bedford-Stuyvesant,Brooklyn
3482,Windsor Terrace,Brooklyn
3483,Williamsburg,Brooklyn
3484,Clinton Hill,Brooklyn
3485,East Flatbush,Brooklyn
3486,Bedford-Stuyvesant,Brooklyn
3487,Flushing,Queens
3488,Ridgewood,Queens
3489,Flushing,Queens
3490,East Flatbush,Brooklyn
3491,Upper West Side,Manhattan
3492,Prince's Bay,Staten Island
3493,Tribeca,Manhattan
3494,Upper West Side,Manhattan
3495,Bedford-Stuyvesant,Brooklyn
3496,Upper East Side,Manhattan
3497,Clinton Hill,Brooklyn
3498,Chelsea,Manhattan
3499,Woodside,Queens
3500,Hell's Kitchen,Manhattan
3501,Harlem,Manhattan
3502,Sunset Park,Brooklyn
3503,Woodside,Queens
3504,Flushing,Queens
3505,Forest Hills,Queens
3506,Richmond Hill,Queens
3507,Tribeca,Manhattan
3508,Williamsburg,Brooklyn
3509,Hell's Kitchen,Manhattan
3510,East Flatbush,Brooklyn
3511,Bedford-Stuyvesant,Brooklyn
3512,Bushwick,Brooklyn
3513,Harlem,Manhattan
3514,Astoria,Queens
3515,Harlem,Manhattan
3516,Manhattan,Manhattan
3517,Williamsburg,Brooklyn
3518,Upper East Side,Manhattan
3519,South Slope,Brooklyn
3520,Bedford-Stuyvesant,Brooklyn
3521,Bedford-Stuyvesant,Brooklyn
3522,Midtown,Manhattan
3523,Bushwick,Brooklyn
3524,Williamsburg,Brooklyn
3525,Upper East Side,Manhattan
3526,East Village,Manhattan
3527,Williamsburg,Brooklyn
3528,Upper East Side,Manhattan
3529,Midtown,Manhattan
3530,Chelsea,Manhattan
3531,Bushwick,Brooklyn
3532,Manhattan,Manhattan
3533,Clinton Hill,Brooklyn
3534,Flushing,Queens
3535,Rockaway Park,Queens
3536,Sunset Park,Brooklyn
3537,Williamsburg,Brooklyn
3538,Battery Park City,Manhattan
3539,Manhattan,Manhattan
3540,Rego Park,Queens
3541,Fordham,Bronx
3542,Williamsburg,Brooklyn
3543,Wakefield,Bronx
3544,Midtown,Manhattan
3545,Hell's Kitchen,Manhattan
3546,Woodside,Queens
3547,South Slope,Brooklyn
3548,Flatbush,Brooklyn
3549,Fort Greene,Brooklyn
3550,Elmhurst,Queens
3551,SoHo,Manhattan
3552,Fort Hamilton,Brooklyn
3553,Boerum Hill,Brooklyn
3554,Washington Heights,Manhattan
3555,Midtown,Manhattan
3556,East Village,Manhattan
3557,Elmhurst,Queens
3558,Astoria,Queens
3559,Murray Hill,Manhattan
3560,Williamsburg,Brooklyn
3561,East Village,Manhattan
3562,Chelsea,Manhattan
3563,Upper East Side,Manhattan
3564,Bedford-Stuyvesant,Brooklyn
3565,East Village,Manhattan
3566,Sunnyside,Queens
3567,Bedford-Stuyvesant,Brooklyn
3568,Crown Heights,Brooklyn
3569,Williamsburg,Brooklyn
3570,New Brighton,Staten Island
3571,Hell's Kitchen,Manhattan
3572,Theater District,Manhattan
3573,Crown Heights,Brooklyn
3574,Bath Beach,Brooklyn
3575,Upper East Side,Manhattan
3576,Canarsie,Brooklyn
3577,Kips Bay,Manhattan
3578,Hell's Kitchen,Manhattan
3579,Bedford-Stuyvesant,Brooklyn
3580,Upper East Side,Manhattan
3581,East Harlem,Manhattan
3582,Flatbush,Brooklyn
3583,Sunset Park,Brooklyn
3584,Chelsea,Manhattan
3585,Bedford-Stuyvesant,Brooklyn
3586,Chelsea,Manhattan
3587,Greenwich Village,Manhattan
